OK,951896,118987
OK,507428,63428
OK,343619,42952
OK,290899,36362
OK,218734,27341
OK,183068,22883
OK,163921,20490
OK,144551,18068
OK,133681,16710
OK,130699,16337
OK,120571,15071
OK,113423,14177
OK,105182,13147
OK,129347,16168
OK,95368,11921
OK,94442,11805
OK,91867,11483
OK,86164,10770
OK,94830,11853
OK,84942,10617
OK,87646,10955
OK,77998,9749
OK,79423,9927
OK,83386,10423
OK,79053,9881
OK,75238,9404
OK,73072,9134
OK,72702,9087
OK,70312,8789
OK,72368,9046
OK,67406,8425
OK,67479,8434
OK,67943,8492
OK,67498,8437
OK,66535,8316
OK,66423,8302
OK,68479,8559
OK,95664,11958
OK,71109,8888
OK,66572,8321
OK,65239,8154
OK,67331,8416
OK,65498,8187
OK,65942,8242
OK,66294,8286
OK,64831,8103
OK,68924,8615
OK,68794,8599
OK,68757,8594
OK,66017,8252
OK,52499,6562
OK,68424,8553
OK,65535,8191
OK,66349,8293
OK,66868,8358
OK,71331,8916
OK,66628,8328
OK,68591,8573
OK,64961,8120
OK,64164,8020
OK,18258,2282
OK,17333,2166
OK,17314,2164
OK,16814,2101
OK,16629,2078
OK,16685,2085
OK,16852,2106
OK,16166,2020
OK,16388,2048
OK,16092,2011
OK,15611,1951
OK,15574,1946
OK,15259,1907
OK,15111,1888
OK,15148,1893
OK,15092,1886
OK,15278,1909
OK,14221,1777
OK,14481,1810
OK,14167,1770
OK,14129,1766
OK,13721,1715
OK,14000,1750
OK,13741,1717
OK,13629,1703
OK,13444,1680
OK,13351,1668
OK,13278,1659
OK,13333,1666
OK,13147,1643
OK,13074,1634
OK,12778,1597
OK,12666,1583
OK,12481,1560
OK,12685,1585
OK,12518,1564
OK,11981,1497
OK,12444,1555
OK,12351,1543
OK,12185,1523
OK,12055,1506
OK,11740,1467
OK,11833,1479
OK,11907,1488
OK,11740,1467
OK,11277,1409
OK,11499,1437
OK,11684,1460
OK,11129,1391
OK,11740,1467
OK,11481,1435
OK,11870,1483
OK,10833,1354
OK,11000,1375
OK,10537,1317
OK,10722,1340
OK,10944,1368
OK,10314,1289
OK,10981,1372
OK,10852,1356
OK,11481,1435
OK,10370,1296
OK,10685,1335
OK,10666,1333
OK,10333,1291
OK,10815,1351
OK,10444,1305
OK,10463,1307
OK,10351,1293
OK,9888,1236
OK,10222,1277
ERR,10333,1291
ERR,9982,1247
ERR,10092,1261
ERR,10203,1275
OK,9796,1224
ERR,9999,1249
ERR,9685,1210
OK,9741,1217
OK,9759,1219
OK,9833,1229
OK,9796,1224
ERR,10000,1250
OK,10314,1289
OK,10185,1273
OK,9389,1173
OK,9574,1196
ERR,9519,1189
ERR,9833,1229
OK,9278,1159
ERR,9296,1162
OK,9629,1203
ERR,9463,1182
ERR,9389,1173
ERR,9018,1127
ERR,9074,1134
ERR,9204,1150
ERR,8962,1120
ERR,8685,1085
ERR,8352,1044
ERR,9241,1155
ERR,8889,1111
ERR,9000,1125
ERR,8925,1115
OK,8685,1085
OK,8963,1120
ERR,9370,1171
ERR,8722,1090
ERR,8907,1113
ERR,9037,1129
ERR,9129,1141
ERR,8722,1090
ERR,8685,1085
ERR,8944,1118
ERR,8277,1034
ERR,8222,1027
ERR,8315,1039
ERR,8907,1113
ERR,8852,1106
ERR,8666,1083
ERR,8722,1090
ERR,8462,1057
ERR,8666,1083
OK,8574,1071
ERR,8518,1064
ERR,8704,1088
OK,8444,1055
OK,8629,1078
ERR,8389,1048
OK,8315,1039
ERR,8315,1039
OK,8370,1046
ERR,8444,1055
OK,8222,1027
OK,8222,1027
OK,8296,1037
ERR,8093,1011
OK,8370,1046
OK,7944,993
OK,7962,995
OK,8463,1057
OK,7944,993
ERR,8166,1020
OK,7907,988
ERR,7926,990
OK,7944,993
OK,7907,988
OK,7888,986
OK,8093,1011
OK,8111,1013
ERR,7666,958
OK,7870,983
OK,8074,1009
ERR,7407,925
ERR,7944,993
OK,8055,1006
OK,7796,974
OK,7889,986
OK,8241,1030
OK,7499,937
OK,7703,962
OK,7907,988
ERR,5481,685
OK,5815,726
ERR,5667,708
OK,5703,712
OK,5777,722
ERR,5814,726
ERR,5834,729
ERR,5796,724
OK,5889,736
OK,5648,706
OK,5778,722
OK,5611,701
ERR,5704,713
ERR,5667,708
ERR,5481,685
ERR,5425,678
ERR,5537,692
ERR,5518,689
OK,5556,694
ERR,5333,666
OK,5370,671
OK,5629,703
OK,5314,664
OK,5555,694
ERR,5592,699
OK,5333,666
ERR,5481,685
ERR,5370,671
ERR,5370,671
ERR,5278,659
ERR,5315,664
ERR,5240,655
OK,5203,650
ERR,5370,671
OK,5352,669
ERR,5037,629
OK,5333,666
OK,5185,648
ERR,5148,643
ERR,5147,643
ERR,5204,650
ERR,5352,669
OK,5204,650
ERR,5278,659
ERR,5389,673
ERR,5241,655
ERR,5037,629
ERR,5537,692
ERR,5056,632
ERR,5092,636
ERR,5019,627
ERR,4945,618
ERR,5055,631
ERR,5037,629
ERR,5259,657
ERR,5073,634
